"Per capita real GDP by metropolitan area (chained 2009 dollars)"
"Levels" 
"Bureau of Economic Analysis" 
"All industry total"
"Fips","Area","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015"
"26900","Indianapolis-Carmel-Anderson, IN (Metropolitan Statistical Area)",56495,56416,57075,59221,59178,59852,60053,59945,56947,58293,57701,57216,58302,59175,59479
"26980","Iowa City, IA (Metropolitan Statistical Area)",47318,45997,46504,47614,47489,48508,48547,48126,47303,48167,48944,49359,50275,50922,50395
"27060","Ithaca, NY (Metropolitan Statistical Area)",37112,37816,39457,39517,40030,39937,39854,41190,41196,41508,41028,41296,40740,40277,40743
"27100","Jackson, MI (Metropolitan Statistical Area)",32019,32663,32000,32681,33082,32448,32302,31223,29322,31128,31926,31461,33778,32978,32766
"27140","Jackson, MS (Metropolitan Statistical Area)",39136,40093,40829,41688,41558,42297,43246,43797,42852,43637,44106,44920,44885,45125,45029
"27180","Jackson, TN (Metropolitan Statistical Area)",38247,39770,41314,41103,41426,41336,38825,39946,38449,38318,39467,40803,41455,41507,41659
"27260","Jacksonville, FL (Metropolitan Statistical Area)",43346,43872,45707,46414,47589,48937,47963,45108,42082,41954,41097,41335,41132,41415,41613
"27340","Jacksonville, NC (Metropolitan Statistical Area)",33348,31274,33006,34056,35935,35629,36753,39152,41707,42331,42259,40185,39040,38123,38216
"27500","Janesville-Beloit, WI (Metropolitan Statistical Area)",32024,34902,35773,35348,34433,36512,35085,32720,29892,30535,31637,32157,33794,33211,33359
"27620","Jefferson City, MO (Metropolitan Statistical Area)",39801,38490,40011,41626,41327,41253,40929,40445,40224,40845,39432,38904,40423,40068,39630
"27740","Johnson City, TN (Metropolitan Statistical Area)",26254,27291,28440,30070,30269,30234,29729,30246,29744,28471,28925,29377,28910,28952,29262
"27780","Johnstown, PA (Metropolitan Statistical Area)",27163,26280,26997,27341,28170,28449,28930,28795,28622,28661,28944,28337,28229,28058,27464
"27860","Jonesboro, AR (Metropolitan Statistical Area)",31322,31740,33729,34634,35017,35071,33565,34140,33437,34494,33441,32665,33585,33045,33412
"27900","Joplin, MO (Metropolitan Statistical Area)",32897,32124,33662,34441,34451,34917,34402,34054,33511,34267,34125,34475,34525,33960,33700
"27980","Kahului-Wailuku-Lahaina, HI (Metropolitan Statistical Area)",42133,41896,43592,45810,47769,49188,49039,47473,43943,43156,43700,43841,43664,44207,42719
