"CA5 Personal Income by Major Component and Earnings by SIC Industry 1/"
"" 
"Bureau of Economic Analysis" 
"Metropolitan Statistical Area"
"GeoFips","GeoName","LineCode","Description","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000"
"11460","Ann Arbor, MI (Metropolitan Statistical Area)","480","          Leather and leather products","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"11460","Ann Arbor, MI (Metropolitan Statistical Area)","500","      Transportation and public utilities",29941,29733,28164,32436,40822,45747,42904,50228,63500,78051,91446,94431,96779,95376,105254,122524,153480,178747,150198,167976,196215,205239,214799,186602,200885,227542,256487,273614,330337,349885,328567,264171
"11460","Ann Arbor, MI (Metropolitan Statistical Area)","510","        Railroad transportation",1501,1613,1721,1619,1603,1852,1946,2324,2696,3115,3664,3699,3660,3484,3509,3604,3406,3667,3753,2998,2540,2150,1845,2002,1894,1932,1949,1959,1900,2237,2144,1935
"11460","Ann Arbor, MI (Metropolitan Statistical Area)","520","        Trucking and warehousing",3196,3063,3612,3804,4035,4340,4963,8754,11680,14279,22248,27310,29045,28605,35128,45288,55400,69180,44406,51964,54031,57991,60659,41039,43702,43108,"(D)",56045,69310,71528,69561,74963
"11460","Ann Arbor, MI (Metropolitan Statistical Area)","530","        Water transportation",0,0,0,0,0,0,0,0,0,0,0,0,0,"(D)","(D)","(D)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11460","Ann Arbor, MI (Metropolitan Statistical Area)","540","        Other transportation","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",43527,52785,56289,68345,95492,97539,102411,82267,93542,119088,"(D)",134699,153732,164106,141649,67251
"11460","Ann Arbor, MI (Metropolitan Statistical Area)","541","          Local and interurban passenger transit",459,436,330,461,536,659,703,461,592,708,985,1230,1579,1656,1850,2062,2243,2694,2797,3355,3898,4866,5558,6286,7102,7505,8781,10010,13805,16142,17908,17902
"11460","Ann Arbor, MI (Metropolitan Statistical Area)","542","          Transportation by air","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",36336,45213,48352,58935,85355,85657,90044,69546,79480,103304,"(D)",114443,129134,136537,110780,36049
"11460","Ann Arbor, MI (Metropolitan Statistical Area)","543","          Pipelines, except natural gas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11460","Ann Arbor, MI (Metropolitan Statistical Area)","544","          Transportation services",384,525,598,741,794,885,970,1134,1422,1657,1781,1789,2164,2465,3183,3916,4948,4878,5140,6055,6239,7016,6809,6435,6960,8279,9466,10246,10793,11427,12961,13300
"11460","Ann Arbor, MI (Metropolitan Statistical Area)","560","        Communications",8171,9409,10827,10369,12670,12827,13728,14601,16934,18634,19898,22479,24253,22821,22004,19772,27763,28734,24449,22062,24426,26368,25892,28105,25905,27572,42952,40461,66485,73279,74630,69790
"11460","Ann Arbor, MI (Metropolitan Statistical Area)","570","        Electric, gas, and sanitary services","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",18918,23384,24381,21301,22607,19726,21191,23992,33189,35842,35842,40209,40450,38910,38735,40583,50232
"11460","Ann Arbor, MI (Metropolitan Statistical Area)","610","      Wholesale trade",13461,14894,18273,21113,23143,30523,29118,32036,36032,45323,49600,49788,57624,65754,78232,92550,94951,106444,119759,154322,192144,195633,213746,213319,218077,215887,245063,265166,311015,343460,355542,390440
"11460","Ann Arbor, MI (Metropolitan Statistical Area)","620","      Retail trade",77932,82331,90965,97855,112464,121979,129315,143869,162123,181908,194288,202881,210362,210973,223265,240874,265899,296387,342673,369809,405440,417218,424030,440759,463289,518677,547999,600626,655475,768954,795888,841463
"11460","Ann Arbor, MI (Metropolitan Statistical Area)","621","        Building materials and garden equipment",6596,6928,8506,9258,10473,11313,9629,9017,11382,13115,13956,13348,13067,11729,11342,13018,13525,14759,17319,19348,21868,21362,21726,22640,24960,28288,28820,32498,37178,40508,45333,53388
"11460","Ann Arbor, MI (Metropolitan Statistical Area)","622","        General merchandise stores",9761,10464,11366,10603,14070,17172,18946,19891,23442,25491,26645,28112,29571,29047,28949,29063,29911,31197,34238,36820,48956,49136,48007,50490,54684,56949,58795,60763,62255,65759,67294,70609
"11460","Ann Arbor, MI (Metropolitan Statistical Area)","623","        Food stores",8219,9046,10733,11299,11921,13333,15979,17787,18247,20906,21865,23700,24740,23664,23804,25874,27074,28917,34460,34292,34032,36203,37547,41043,49453,53399,59572,64851,73450,79366,87717,95050
"11460","Ann Arbor, MI (Metropolitan Statistical Area)","624","        Automotive dealers and service stations",17385,17880,19505,21133,23921,23688,25143,29136,34714,37539,38798,36326,37754,39960,43318,51912,57359,57543,64137,72944,74988,76666,69278,72967,85704,96113,101712,105667,109243,107201,117177,120963
